,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY,GENERAL PERCENT,,,,,,
34,AL,Alabama,6,H4AL06122,,Robert,Shattuck,"Shattuck, Robert",R,,,,,,,
35,AL,Alabama,6,n/a,,,,,R,,,,,,,
36,AL,Alabama,6,H4AL06148,,Mark,Lester,"Lester, Mark #",D,"23,70%",,,,,,
37,AL,Alabama,6,H4AL06130,,Avery,Vise,"Vise, Avery #",D,,,,,,,
38,AL,Alabama,6,n/a,,,,Scattered,W,"0,12%",,,,,,
39,AL,Alabama,6,n/a,,,,,,,,,,,,
40,AL,Alabama,,n/a,,,,,,,,,,,,
41,AL,Alabama,7,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",D,"98,37%",,,,,,
42,AL,Alabama,7,H4AL07096,,Tamara Harris,Johnson,"Johnson, Tamara Harris",D,,,,,,,
43,AL,Alabama,7,n/a,,,,,D,,,,,,,
44,AL,Alabama,7,n/a,,,,Scattered,W,"1,63%",,,,,,
45,AL,Alabama,7,n/a,,,,,,,,,,,,
46,AL,Alabama,,n/a,,,,,,,,,,,,
47,AL,Alabama,H,n/a,,,,,,,,,,,,
48,AL,Alabama,,n/a,,,,,,,,,,,,
49,,,,n/a,,,,,,,,,,,,
50,AK,Alaska,0,H6AK00045,(I),Don,Young,"Young, Don",R,"50,97%",,,,,,
51,AK,Alaska,0,H0AK00097,,John R.,Cox,"Cox, John R.",R,,,,,,,
52,AK,Alaska,0,H4AK00149,,David,Seaward,"Seaward, David  ",R,,,,,,,
53,AK,Alaska,0,H4AK00131,,"David F. ""Dave""",Dohner,"Dohner, David F. ""Dave""",R,,,,,,,
54,AK,Alaska,0,n/a,,,,,R,,,,,,,
55,AK,Alaska,0,H4AK00123,,Forrest,Dunbar,"Dunbar, Forrest ",D,"40,97%",,,,,,
56,AK,Alaska,0,H4AK00057,,Frank J.,Vondersaar,"Vondersaar, Frank J.",D,,,,,,,
57,AK,Alaska,0,n/a,,,,,D,,,,,,,
58,AK,Alaska,0,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",LIB,"7,61%",,,,,,
59,AK,Alaska,0,n/a,,,,,LIB,,,,,,,
60,AK,Alaska,0,n/a,,,,Scattered,W,"0,46%",,,,,,
61,AK,Alaska,0,n/a,,,,,,,,,,,,
62,AK,Alaska,H,n/a,,,,,,,,,,,,
63,AK,Alaska,,n/a,,,,,,,,,,,,
64,AK,Alaska,,n/a,,,,,,,,,,,,
65,,,,n/a,,,,,,,,,,,,
66,AS,American Samoa,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",R,"42,03%",,,,,,
67,AS,American Samoa,0,H0AS00018,(I),Eni F. H.,Faleomavaega,"Faleomavaega, Eni F. H.",D,"30,81%",,,,,,
68,AS,American Samoa,0,H4AS00085,,Togiola,Tulafono,"Tulafono, Togiola",D,"11,03%",,,,,,
69,AS,American Samoa,0,H4AS00069,,Mapu S.,Jamias,,D,"6,36%",,,,,,
70,AS,American Samoa,0,H8AS00052,,Rosie Fuala'au Tago,Lancaster,"Lancaster, Rosie Fuala'au Tago",IND,"2,62%",,,,,,
71,AS,American Samoa,0,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",D,"2,24%",,,,,,
72,AS,American Samoa,0,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",IND,"1,96%",,,,,,
73,AS,American Samoa,0,H2AS00055,,"Tu_'au Kereti, Jr.",M_ta'utia,"M_ta'utia, Tu_'au Kereti, Jr.",D,"1,56%",,,,,,
74,AS,American Samoa,0,H4AS00077,,Mark,Ude,"Ude, Mark",IND,"1,40%",,,,,,
75,AS,American Samoa,,n/a,,,,,,,,,,,,
76,AS,American Samoa,H,n/a,,,,,,,,,,,,
77,,,,n/a,,,,,,,,,,,,
78,AZ,Arizona,1,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",D,"52,61%",,,,,,
79,AZ,Arizona,1,n/a,,,,,D,,,,,,,
80,AZ,Arizona,1,H0AZ01325,,Andy,Tobin,"Tobin, Andy",R,"47,39%",,,,,,
81,AZ,Arizona,1,H4AZ01145,,Gary,Kiehne,"Kiehne, Gary",R,,,,,,,
82,AZ,Arizona,1,H4AZ01152,,Adam,Kwasman,"Kwasman, Adam",R,,,,,,,
83,AZ,Arizona,1,n/a,,,,,R,,,,,,,
84,AZ,Arizona,1,n/a,,,,,,,,,,,,
85,AZ,Arizona,2,H2AZ08102,,Martha,McSally,,R,"50,01%",,,,,,
86,AZ,Arizona,2,H4AZ02143,,Chuck,Wooten,"Wooten, Chuck",R,,,,,,,
87,AZ,Arizona,2,H4AZ02135,,Shelley,Kais,"Kais, Shelley",R,,,,,,,
88,AZ,Arizona,2,n/a,,,,,R,,,,,,,
89,AZ,Arizona,2,H2AZ08094,(I),Ron,Barber,"Barber, Ron",D,"49,94%",,,,,,
90,AZ,Arizona,2,n/a,,,,,D,,,,,,,
91,AZ,Arizona,2,H4AZ02150,,Sampson U.,Ramirez,"Ramirez, Sampson U.",W,"0,03%",,,,,,
92,AZ,Arizona,2,H4AZ02168,,Sydney,Dudikoff,,W,"0,02%",,,,,,
93,AZ,Arizona,2,n/a,,,,,,,,,,,,
94,AZ,Arizona,3,H2AZ07070,(I),Raul,Grijalva,"Grijalva, Raul ",D,"55,72%",,,,,,
95,AZ,Arizona,3,n/a,,,,,D,,,,,,,
96,AZ,Arizona,3,H2AZ07146,,Gabby,Saucedo Mercer,"Saucedo Mercer, Gabby",R,"44,23%",,,,,,
97,AZ,Arizona,3,n/a,,,,,R,,,,,,,
98,AZ,Arizona,3,H4AZ03075,,F.,Sﾇnchez,"Sﾇnchez, F.",W,"0,04%",,,,,,
99,AZ,Arizona,3,H4AZ03083,,Lee,Thompson,"Thompson, Lee",W,"0,01%",,,,,,
100,AZ,Arizona,3,n/a,,,,,,,,,,,,
101,AZ,Arizona,,n/a,,,,,,,,,,,,
102,AZ,Arizona,4,H0AZ01259,(I),Paul,Gosar,,R,"69,96%",,,,,,
103,AZ,Arizona,4,n/a,,,,,R,,,,,,,
104,AZ,Arizona,4,H2AZ04143,,Mike,Weisser,"Weisser, Mike",D,"25,79%",,,,,,
105,AZ,Arizona,4,n/a,,,,,D,,,,,,,
106,AZ,Arizona,4,H4AZ04099,,Chris,Rike,"Rike, Chris",W(LIB)/LIB,"4,25%",,,,,,
107,AZ,Arizona,4,n/a,,,,,LIB,,,,,,,
108,AZ,Arizona,4,n/a,,,,,,,,,,,,
109,AZ,Arizona,5,H4AZ01038,(I),Matt,Salmon,,R,"69,58%",,,,,,
110,AZ,Arizona,5,n/a,,,,,R,,,,,,,
111,AZ,Arizona,5,H4AZ05088,,James,Woods,"Woods, James",D,"30,42%",,,,,,
112,AZ,Arizona,5,n/a,,,,,D,,,,,,,
113,AZ,Arizona,5,n/a,,,,,,,,,,,,
114,AZ,Arizona,6,H4AZ06045,(I),David,Schweikert,"Schweikert, David ",R,"64,86%",,,,,,
115,AZ,Arizona,6,n/a,,,,,R,,,,,,,
116,AZ,Arizona,6,H2AZ05132,,W. John,Williamson,"Williamson, W. John",D,"35,14%",,,,,,
117,AZ,Arizona,6,n/a,,,,,D,,,,,,,
118,AZ,Arizona,6,n/a,,,,,,,,,,,,
119,AZ,Arizona,7,H4AZ07043,,Ruben,Gallego,"Gallego, Ruben",D,"74,85%",,,,,,
120,AZ,Arizona,7,H4AZ07068,,Mary Rose,Wilcox,"Wilcox, Mary Rose",D,,,,,,,
121,AZ,Arizona,7,H2AZ02220,,Randy,Camacho,"Camacho, Randy ",D,,,,,,,
122,AZ,Arizona,7,H4AZ07076,,Jarrett,Maupin,"Maupin, Jarrett",D,,,,,,,
123,AZ,Arizona,7,n/a,,,,,D,,,,,,,
124,AZ,Arizona,7,H6AZ07022,,Joe,Cobb,"Cobb, Joe",LIB,"14,79%",,,,,,
125,AZ,Arizona,7,n/a,,,,,LIB,,,,,,,
126,AZ,Arizona,7,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",W(AE)/AE,"5,32%",,,,,,
127,AZ,Arizona,7,n/a,,,,,AE,,,,,,,
128,AZ,Arizona,7,H0AZ04501,,Josﾎ,Peﾖalosa,"Peﾖalosa, Josﾎ",JP,"4,83%",,,,,,
129,AZ,Arizona,7,H4AZ07126,,Gary,Dunn,"Dunn, Gary",W,"0,18%",,,,,,
130,AZ,Arizona,7,H4AZ07118,,Gustavo,Ortega,"Ortega, Gustavo",W,"0,02%",,,,,,
131,AZ,Arizona,7,H4AZ07100,,Samuel,Esquivel,,W,"0,01%",,,,,,
132,AZ,Arizona,7,n/a,,,,,,,,,,,,
133,AZ,Arizona,8,H4AZ04024,(I),Trent,Franks,,R,"75,81%",,,,,,
134,AZ,Arizona,8,H4AZ08066,,Clair,Van Steenwyk,"Van Steenwyk, Clair",R,,,,,,,
135,AZ,Arizona,8,n/a,,,,,R,,,,,,,
136,AZ,Arizona,8,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",W(AE)/AE,"24,19%",,,,,,
137,AZ,Arizona,8,n/a,,,,,AE,,,,,,,
138,AZ,Arizona,8,n/a,,,,,,,,,,,,
139,AZ,Arizona,9,H2AZ09019,(I),Kyrsten,Sinema,"Sinema, Kyrsten",D,"54,68%",,,,,,
140,AZ,Arizona,9,n/a,,,,,D,,,,,,,
141,AZ,Arizona,9,H2AZ09035,,Wendy,Rogers,,R,"41,86%",,,,,,
142,AZ,Arizona,9,H4AZ09023,,Andrew,Walter,"Walter, Andrew",R,,,,,,,
143,AZ,Arizona,9,n/a,,,,,R,,,,,,,
144,AZ,Arizona,9,H4AZ02119,,Powell,Gammill,"Gammill, Powell",W(LIB)/LIB,"3,46%",,,,,,
145,AZ,Arizona,9,n/a,,,,,LIB,,,,,,,
146,AZ,Arizona,9,n/a,,,,,,,,,,,,
147,AZ,Arizona,H,n/a,,,,,,,,,,,,
148,,,,n/a,,,,,,,,,,,,
149,AR,Arkansas,1,H0AR01083,(I),Rick,Crawford,"Crawford, Rick ",R,"63,25%",,,,,,
150,AR,Arkansas,1,H4AR01051,,Jackie,McPherson,"McPherson, Jackie",D,"32,38%",,,,,,
151,AR,Arkansas,1,H4AR01069,,Brian Scott,Willhite,"Willhite, Brian Scott",LIB,"4,36%",,,,,,
152,AR,Arkansas,1,n/a,,,,,,,,,,,,
153,AR,Arkansas,2,H4AR02141,,French,Hill,"Hill, French ",R,"51,86%",,,,,,
154,AR,Arkansas,2,H4AR02158,,Ann,Clemmer,"Clemmer, Ann",R,,,,,,,
155,AR,Arkansas,2,H4AR02166,,Conrad,Reynolds,"Reynolds, Conrad",R,,,,,,,
156,AR,Arkansas,2,n/a,,,,,R,,,,,,,
157,AR,Arkansas,2,H4AR02133,,Patrick Henry,Hays,,D,"43,60%",,,,,,
158,AR,Arkansas,2,H4AR02174,,Debbie,Standiford,"Standiford, Debbie ",LIB,"4,46%",,,,,,
159,AR,Arkansas,2,H4AR02182,,Charles,Neely,"Neely, Charles",W,"0,08%",,,,,,
160,AR,Arkansas,2,n/a,,,,,,,,,,,,
161,AR,Arkansas,3,H0AR03055,(I),Steve,Womack,"Womack, Steve",R,"79,41%",,,,,,
162,AR,Arkansas,3,H4AR03057,,Grant,Brand,,LIB,"20,59%",,,,,,
163,AR,Arkansas,3,n/a,,,,,,,,,,,,
164,AR,Arkansas,4,H4AR04048,,Bruce,Westerman,"Westerman, Bruce",R,"53,75%",,,,,,
165,AR,Arkansas,4,H4AR04055,,Tommy,Moll,"Moll, Tommy ",R,,,,,,,
166,AR,Arkansas,4,n/a,,,,,R,,,,,,,
167,AR,Arkansas,4,H4AR04063,,James Lee,Witt,"Witt, James Lee",D,"42,57%",,,,,,
168,AR,Arkansas,4,H4AR04071,,Ken,Hamilton,"Hamilton, Ken",LIB,"3,69%",,,,,,
169,AR,Arkansas,4,H4AR04030,,Janis K.,Percefull,,W,"0,00%",,,,,,
170,AR,Arkansas,4,n/a,,,,,,,,,,,,
171,AR,Arkansas,H,n/a,,,,,,,,,,,,
172,AR,Arkansas,,n/a,,,,,,,,,,,,
173,,,,n/a,,,,,,,,,,,,
174,CA,California,1,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",R,"61,03%",,,,,,
175,CA,California,1,H4CA01066,,Heidi,Hall,"Hall, Heidi",D,"38,97%",,,,,,
176,CA,California,1,H2CA01136,,Gregory,Cheadle,"Cheadle, Gregory",R,,,,,,,
177,CA,California,1,H4CA01074,,Dan,Levine,"Levine, Dan",D,,,,,,,
178,CA,California,1,n/a,,,,,,,,,,,,
179,CA,California,2,H2CA06259,(I),Jared,Huffman,"Huffman, Jared",D,"74,99%",,,,,,
180,CA,California,2,H4CA02098,,Dale K.,Mensing,"Mensing, Dale K.",R,"25,01%",,,,,,
181,CA,California,2,H2CA02118,,Andy,Caffrey,"Caffrey, Andy",D,,,,,,,
182,CA,California,2,n/a,,,,,,,,,,,,
183,CA,California,3,H0CA10149,(I),John,Garamendi,"Garamendi, John",D,"52,72%",,,,,,
184,CA,California,3,H4CA03096,,Dan,Logue,"Logue, Dan",R,"47,28%",,,,,,
185,CA,California,3,n/a,,,,,,,,,,,,
186,CA,California,4,H8CA04152,(I),Tom,McClintock,,R,"60,05%",,,,,,
187,CA,California,4,H4CA04102,,"Arthur ""Art""",Moore,"Moore, Arthur ""Art""",R,"39,95%",,,,,,
188,CA,California,4,H4CA04110,,Jeffrey D.,Gerlach,"Gerlach, Jeffrey D.",NOP,,,,,,,
189,CA,California,4,n/a,,,,,,,,,,,,
190,CA,California,5,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",D,"75,73%",,,,,,
191,CA,California,5,H4CA05257,,James,Hinton,"Hinton, James",NOP,"24,27%",,,,,,
192,CA,California,5,H4CA11099,,Douglas S.,Van Raam,"Van Raam, Douglas S.",NOP,,,,,,,
193,CA,California,5,n/a,,,,,,,,,,,,
194,CA,California,6,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",D,"72,69%",,,,,,
195,CA,California,6,H2CA06291,,"Joseph, Sr.",McCray,,R,"27,31%",,,,,,
196,CA,California,6,n/a,,,,,,,,,,,,
197,CA,California,7,H0CA03078,(I),Ami,Bera,"Bera, Ami",D,"50,40%",,,,,,
198,CA,California,7,H8CA03105,,Doug,Ose,"Ose, Doug",R,"49,60%",,,,,,
199,CA,California,7,H4CA07055,,Igor,Birman,"Birman, Igor",R,,,,,,,
200,CA,California,7,H0CA11352,,Elizabeth,Emken,"Emken, Elizabeth",R,,,,,,,
201,CA,California,7,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",LIB,,,,,,,
202,CA,California,7,H4CA07063,,Phill A.,Tufi,"Tufi, Phill A.",NOP,,,,,,,
203,CA,California,7,n/a,,,,,,,,,,,,
204,CA,California,8,H2CA08164,(I),Paul,Cook,"Cook, Paul",R,"67,65%",,,,,,
205,CA,California,8,H6CA40234,,Bob,Conaway,,D,"32,35%",,,,,,
206,CA,California,8,H4CA08103,,Paul,Hannosh,"Hannosh, Paul",R,,,,,,,
207,CA,California,8,H4CA08129,,Odessia D.,Lee,,D,,,,,,,
208,CA,California,8,n/a,,,,,,,,,,,,panm
209,CA,California,9,H4CA11081,(I),Jerry,McNerney,"McNerney, Jerry",D,"52,37%",,,,,,
210,CA,California,9,H0CA11337,,"Antonio C. ""Tony""",Amador,"Amador, Antonio C. ""Tony""",R,"47,63%",,,,,,
211,CA,California,9,H4CA09069,,Steve Anthony,Colangelo,,R,,,,,,,
212,CA,California,9,H4CA09077,,"Karen ""Mathews""",Davis,"Davis, Karen ""Mathews""",R,,,,,,,
213,CA,California,9,n/a,,,,,,,,,,,,
214,CA,California,10,H0CA19173,(I),Jeff,Denham,,R,"56,15%",,,,,,
215,CA,California,10,H4CA10075,,Michael,Eggman,"Eggman, Michael",D,"43,85%",,,,,,
216,CA,California,10,H2CA00096,,"Michael J. ""Mike""",Barkley,"Barkley, Michael J. ""Mike""",D,,,,,,,
217,CA,California,10,H0CA11360,,David Paul,Christensen,"Christensen, David Paul",W(NOP),,,,,,,
218,CA,California,10,n/a,,,,,,,,,,,,
219,CA,California,11,H0CA10073,,Mark,Desaulnier,"Desaulnier, Mark",D,"67,27%",,,,,,
220,CA,California,11,H4CA11107,,Tue,Phan,"Phan, Tue",R,"32,73%",,,,,,
221,CA,California,11,H2CA11168,,Cheryl,Sudduth,,D,,,,,,,
222,CA,California,11,H4CA11115,,Tony,Daysog,"Daysog, Tony",D,,,,,,,
223,CA,California,11,H4CA11131,,Jason,Ramey,"Ramey, Jason",NOP,,,,,,,
224,CA,California,11,H4CA11123,,Ki,Ingersol,"Ingersol, Ki",D,,,,,,,
225,CA,California,11,H8CA07031,,Virginia,Fuller,"Fuller, Virginia",W(AIP),,,,,,,
226,CA,California,11,n/a,,,,,,,,,,,,
227,CA,California,12,H8CA05035,(I),Nancy,Pelosi,"Pelosi, Nancy",D,"83,25%",,,,,,
228,CA,California,12,H0CA08069,,John,Dennis,"Dennis, John",R,"16,75%",,,,,,
229,CA,California,12,H4CA12089,,Barry,Hermanson,"Hermanson, Barry",GRE,,,,,,,
230,CA,California,12,H0CA10172,,David,Peterson,,D,,,,,,,
231,CA,California,12,H4CA12113,,Frank,Lara,"Lara, Frank",PAF,,,,,,,
232,CA,California,12,H4CA12139,,Michael,Steger,"Steger, Michael",D,,,,,,,
233,CA,California,12,H4CA12121,,"A. J. ""Desmond""",Thorsson,"Thorsson, A. J. ""Desmond""",NOP,,,,,,,
234,CA,California,12,H4CA12147,,Jim,Welles,"Welles, Jim",NOP,,,,,,,
235,CA,California,12,n/a,,,,,,,,,,,,
236,CA,California,13,H8CA09060,(I),Barbara,Lee,"Lee, Barbara",D,"88,48%",,,,,,
237,CA,California,13,H4CA13087,,Dakin,Sundeen,"Sundeen, Dakin",R,"11,52%",,,,,,
238,CA,California,13,H0CA13093,,Justin,Jelincic,"Jelincic, Justin",D,,,,,,,
239,CA,California,13,H0CA09091,,Lawrence N.,Allen,"Allen, Lawrence N.",PAF,,,,,,,
240,CA,California,13,n/a,,,,,,,,,,,,
241,CA,California,14,H8CA12171,(I),Jackie,Speier,"Speier, Jackie",D,"76,70%",,,,,,
242,CA,California,14,H4CA18060,,Robin,Chew,"Chew, Robin",R,"23,30%",,,,,,
243,CA,California,14,n/a,,,,,,,,,,,,
244,CA,California,15,H2CA15094,(I),Eric,Swalwell,"Swalwell, Eric",D,"69,81%",,,,,,
245,CA,California,15,H4CA15066,,Hugh,Bussell,"Bussell, Hugh",R,"30,19%",,,,,,
246,CA,California,15,H2CA15086,,Ellen M.,Corbett,"Corbett, Ellen M.",D,,,,,,,
247,CA,California,15,n/a,,,,,,,,,,,,
248,CA,California,16,H4CA20082,(I),Jim,Costa,,D,"50,73%",,,,,,
249,CA,California,16,H2CA16100,,Johnny,Tacherra,"Tacherra, Johnny",R,"49,27%",,,,,,
250,CA,California,16,H4CA16148,,Steve,Crass,,R,,,,,,,
251,CA,California,16,H4CA16122,,Mel,Levey,"Levey, Mel",R,,,,,,,
252,CA,California,16,H4CA16106,,Joanna,Garcia-Botelho,"Garcia-Botelho, Joanna",R,,,,,,,
253,CA,California,16,H4CA16130,,Job,Melton,,D,,,,,,,
254,CA,California,16,n/a,,,,,,,,,,,,
255,CA,California,17,H0CA15148,(I),Mike,Honda,,D,"51,75%",,,,,,
256,CA,California,17,H4CA12055,,Ro,Khanna,"Khanna, Ro",D,"48,25%",,,,,,
257,CA,California,17,H4CA17294,,Vanila,Singh,"Singh, Vanila",R,,,,,,,
258,CA,California,17,H4CA17302,,Joel,VanLandingham,"VanLandingham, Joel",R,,,,,,,
259,CA,California,17,n/a,,,,,,,,,,,,
260,CA,California,18,H8CA12098,(I),Anna G.,Eshoo,"Eshoo, Anna G.",D,"67,75%",,,,,,
261,CA,California,18,H4CA18094,,Richard B.,Fox,"Fox, Richard B.",R,"32,25%",,,,,,
262,CA,California,18,H4CA18086,,Bruce,Anderson,"Anderson, Bruce",R,,,,,,,
263,CA,California,18,H4CA18102,,Oscar Alejandro,Braun,"Braun, Oscar Alejandro",R,,,,,,,
264,CA,California,18,n/a,,,,,,,,,,,,
265,CA,California,19,H4CA16049,(I),Zoe,Lofgren,"Lofgren, Zoe",D,"67,21%",,,,,,
266,CA,California,19,H2CA19112,,Robert,Murray,"Murray, Robert",D,"32,79%",,,,,,
267,CA,California,19,n/a,,,,,,,,,,,,
268,CA,California,20,H4CA17021,(I),Sam,Farr,"Farr, Sam",D,"75,18%",,,,,,
269,CA,California,20,H0CA17185,,Ronald Paul,Kabat,"Kabat, Ronald Paul",NOP,"24,82%",,,,,,
270,CA,California,20,n/a,,,,,,,,,,,,
271,CA,California,21,H2CA20094,(I),David,Valadao,"Valadao, David",R,"57,83%",,,,,,
272,CA,California,21,H4CA21072,,Amanda,Renteria,"Renteria, Amanda",D,"42,17%",,,,,,
273,CA,California,21,H0CA19082,,John S.,Hernandez,"Hernandez, John S.",D,,,,,,,
274,CA,California,21,n/a,,,,,,,,,,,,
275,CA,California,22,H8CA20059,(I),Devin G.,Nunes,"Nunes, Devin G.",R,"72,04%",,,,,,
276,CA,California,22,H4CA22104,,"Suzanna ""Sam""",Augilera-Marrero,"Augilera-Marrero, Suzanna ""Sam""",D,"27,96%",,,,,,
277,CA,California,22,H4CA22112,,John P.,Catano,"Catano, John P.",R,,,,,,,
278,CA,California,22,n/a,,,,,,,,,,,,
279,CA,California,23,H6CA22125,(I),Kevin,McCarthy,,R,"74,84%",,,,,,
280,CA,California,23,H4CA23151,,Raul,Garcia,,D,"25,16%",,,,,,
281,CA,California,23,H4CA23169,,Mike,Biglay,"Biglay, Mike",W(R),,,,,,,
282,CA,California,23,H4CA23177,,Ronald L.,Porter,,W(NOP),,,,,,,
283,CA,California,23,H4CA33036,,Gail K.,Lightfoot,"Lightfoot, Gail K.",W(LIB),,,,,,,
284,CA,California,23,n/a,,,,,,,,,,,,
285,CA,California,24,H8CA22089,(I),Lois,Capps,"Capps, Lois",D,"51,93%",,,,,,
286,CA,California,24,H2CA23114,,Chris,Mitchum,,R,"48,07%",,,,,,
287,CA,California,24,H4CA24142,,Justin Donald,Fareed,"Fareed, Justin Donald",R,,,,,,,
288,CA,California,24,H4CA24159,,Dale,Francisco,"Francisco, Dale",R,,,,,,,
289,CA,California,24,H4CA24175,,Bradley,Allen,"Allen, Bradley",R,,,,,,,
290,CA,California,24,H8CA23087,,Sandra,Marshall,"Marshall, Sandra",D,,,,,,,
291,CA,California,24,H4CA24134,,"Paul H., Jr.",Coyne,"Coyne, Paul H., Jr.",D,,,,,,,
292,CA,California,24,H4CA24183,,Steve,Isakson,"Isakson, Steve",NOP,,,,,,,
293,CA,California,24,H4CA24167,,Alexis,Stuart,"Stuart, Alexis",R,,,,,,,
294,CA,California,24,n/a,,,,,,,,,,,,
295,CA,California,25,H4CA25123,,Steve,Knight,,R,"53,34%",,,,,,
296,CA,California,25,H2CA26109,,Tony,Strickland,"Strickland, Tony",R,"46,66%",,,,,,
297,CA,California,25,H2CA25143,,Lee,Rogers,"Rogers, Lee",D,,,,,,,
298,CA,California,25,H4CA25107,,"Evan ""Ivan""",Thomas,"Thomas, Evan ""Ivan""",D,,,,,,,
299,CA,California,25,H4CA25131,,Troy,Castagna,"Castagna, Troy",R,,,,,,,
300,CA,California,25,H4CA25156,,David Koster,Bruce,"Bruce, David Koster",LIB,,,,,,,
301,CA,California,25,H4CA25164,,Michael,Mussack,"Mussack, Michael",NOP,,,,,,,
302,CA,California,25,H8CA27088,,Navraj,Singh,"Singh, Navraj",R,,,,,,,
303,CA,California,25,n/a,,,,,,,,,,,,
304,CA,California,26,H2CA00120,(I),Julia,Brownley,"Brownley, Julia",D,"51,33%",,,,,,
305,CA,California,26,H4CA26147,,Jeff,Gorell,"Gorell, Jeff",R,"48,67%",,,,,,
306,CA,California,26,H4CA26139,,Rafael Alberto,Dagnesses,"Dagnesses, Rafael Alberto",R,,,,,,,
307,CA,California,26,H4CA26154,,Douglas William,Kmiec,"Kmiec, Douglas William",NOP,,,,,,,
308,CA,California,26,n/a,,,,,,,,,,,,
309,CA,California,27,H0CA32101,(I),Judy,Chu,,D,"59,36%",,,,,,
310,CA,California,27,H2CA27198,,Jack,Orswell,"Orswell, Jack",R,"40,64%",,,,,,
311,CA,California,27,n/a,,,,,,,,,,,,
312,CA,California,28,H0CA27085,(I),Adam B.,Schiff,"Schiff, Adam B.",D,"76,50%",,,,,,
313,CA,California,28,H4CA28077,,Steve,Stokes,"Stokes, Steve",NOP,"23,50%",,,,,,
314,CA,California,28,H6CA31126,,Sal,Genovese,"Genovese, Sal",D,,,,,,,
